"date","sport","family","small","ice","guid"
"2023-11-06 19:30:00","115","123","33","77","921626f5-193c-49b3-b7f3-f77a4e2dd95c"
"2023-05-30 21:45:00","3","0","10","0","92176223-284c-4ba0-bf5f-a2a73f422b77"
"2023-08-25 16:15:00","0","107","0","0","9217c44c-2c2a-4790-8d2c-240d9804c5b0"
"2023-11-07 16:30:00","95","135","26","0","921bb44b-a180-4a97-8599-7c6abac8ecb0"
"2023-03-25 15:45:00","83","122","17","62","921d596b-39c5-401e-87ea-83252964a7de"
"2023-11-13 01:15:00","0","0","0","0","9221ebe3-cbf6-47c4-802a-cc328041bfa0"
"2023-11-20 01:30:00","0","0","0","0","9222a5dd-a73d-482e-bfd0-72a1c8d90f10"
"2023-07-24 19:45:00","0","143","0","0","922571e2-93f2-4d18-99b3-b12f5cb9f4d6"
"2023-10-25 23:15:00","0","0","0","0","922700ab-fb26-4ffb-8d89-7acdd6526ab1"
"2023-12-16 18:15:00","86","94","20","296","922c971c-6a55-472c-8631-b6b6e79f0f2b"
"2023-07-12 07:30:00","0","45","0","0","922cab50-6594-41ac-95c0-c466751fd4f2"
"2023-11-29 20:30:00","111","96","26","0","92312576-1868-4a61-9f11-aa32ebdfd921"
"2023-12-14 11:00:00","74","37","25","0","92344a67-1adc-4d0d-a9a1-8b602bde2a6b"
"2023-03-15 12:45:00","65","48","13","0","9238bb7d-4b5a-47bc-a94e-46dac6d5d1f5"
"2023-03-31 10:00:00","70","12","23","0","923f98f4-3079-4b25-ae22-9a300e2897c7"
"2023-04-29 06:30:00","20","33","7","0","9244e781-14d7-4db0-99c5-5784c64a7e22"
"2023-10-20 18:45:00","88","122","26","55","924768b5-ae6d-466c-8c80-0eba1318fae7"
"2023-06-04 20:15:00","69","97","18","0","92487b92-10fe-4568-b6eb-518ad0d2d899"
"2023-03-22 13:15:00","44","66","13","0","924ab717-8711-44df-b721-bba9add06cff"
"2023-11-09 05:15:00","-1","-1","-1","-1","924b7649-6330-43e0-a68a-caf56e38c558"
"2023-06-07 15:45:00","50","131","19","0","924bf9b9-6c25-4e40-81c3-bb01d6ca8fef"
"2023-11-17 14:45:00","71","77","24","0","924d00ee-a821-426a-a23e-5f36e0af8b17"
"2023-08-09 09:45:00","0","93","0","0","925b5513-73ab-4f56-b330-31c909af235f"
"2023-12-12 05:15:00","0","0","0","0","925c3d20-6ecb-4cc9-8cf3-c6b4471f564f"
"2023-12-14 14:00:00","39","69","0","0","925e8dd1-c614-4a41-8009-39f2dd517179"
"2023-10-23 01:00:00","0","0","0","0","92600ede-c1c3-4c1d-a94e-3d9837c22ef4"
"2023-12-05 16:30:00","98","113","21","3","9263ce42-4087-4220-b0c1-6bcef2b5358e"
"2023-10-17 14:15:00","58","68","1","0","926fc0a6-2df3-4ec9-937f-56579486c3f3"
"2023-05-23 14:15:00","39","52","1","0","9274e584-08f3-412e-92ad-11fe0d824ef6"
"2023-11-02 23:00:00","0","0","0","0","9276d7a1-1561-4fa9-bbfe-806128b9ed38"
"2023-12-14 18:45:00","97","137","22","30","927a2433-c712-4c3a-909b-93d555670031"
"2023-05-12 09:15:00","70","34","36","0","927b772e-c883-492e-b82e-aa75e49650d0"
"2023-04-07 12:30:00","64","76","7","0","927e5482-3b96-49af-9f69-b6d06f6d95a5"
"2023-07-08 21:00:00","0","47","0","0","92833082-0fed-4dfa-b759-93fe35fec08f"
"2023-07-02 17:15:00","0","145","0","0","928440b8-ec4c-4498-8246-943a7b7c6e9e"
"2023-12-13 18:45:00","94","121","23","28","928e2a78-8ebf-4bdb-ac1f-c9f4afa0bead"
"2023-12-14 20:45:00","125","84","18","0","9295b60a-57e7-4332-8714-073d5669dff6"
"2023-03-16 17:30:00","111","148","20","39","9299f359-c2ee-43fe-8bbd-93b5d17464e6"
"2023-04-16 20:30:00","117","120","16","0","929bc7d7-76e9-4618-9e6d-de94fd6f3541"
"2023-05-07 20:45:00","80","79","19","0","929f56e3-f33d-48ee-934b-8ad108068fb1"
"2023-05-04 19:30:00","94","86","32","0","929f7245-d962-4477-ab99-494798d59106"
"2023-08-19 17:45:00","0","122","0","0","92aef24c-1c25-4aa2-9fa4-f47a640a3f86"
"2023-07-10 12:15:00","0","83","0","0","92afee7e-eb0c-4e3f-85e1-84b388b850cd"
"2023-03-22 19:30:00","98","154","41","51","92b00e26-afeb-4e1b-b7d9-7e649df1664a"
"2023-10-11 16:00:00","54","101","20","0","92b131ca-ebb2-4c59-be0a-6d3d59a08ac3"
"2023-10-29 03:00:00","0","0","0","0","92ba4a76-40b3-4231-98a7-be3a4f1987ed"
"2023-12-06 10:00:00","56","37","14","0","92bbc4e4-ebea-4dd8-9fb4-2eb8caf00086"
"2023-06-27 09:45:00","40","0","21","0","92bdcfa3-c248-4ec1-8c56-098a200b93ca"
"2023-10-24 09:15:00","42","30","31","0","92c14eb6-755a-4a17-b0dc-968ab1b51ec9"
"2023-05-05 21:15:00","49","64","15","0","92c98c83-8648-4fa5-abbb-d39ec55b7643"
"2023-12-06 00:45:00","0","0","0","0","92cab2c2-2790-42dc-833f-49c982dd052e"
"2023-05-13 13:00:00","56","113","16","0","92d748a0-7a43-48a3-968f-bc3b9c345b46"
"2023-11-01 07:00:00","0","0","0","0","92d983e1-1b76-4d7d-99b5-17785ff31080"
"2023-08-22 17:30:00","0","146","0","0","92dec666-18a3-47f3-af0a-6c45bec8a167"
"2023-11-18 00:45:00","0","0","0","0","92e8e4e5-0373-42ee-b4a6-a672f49f9b7a"
"2023-11-06 17:45:00","128","153","33","67","92ec2815-e2f8-4d3e-804e-876e22ce50ad"
"2023-08-25 16:00:00","0","111","0","0","92f8b06b-46c5-46eb-aa4a-b93cdb30db63"
"2023-11-29 21:45:00","2","1","4","0","92fca18c-43d1-4335-9891-1ae653506f79"
"2023-10-23 07:15:00","39","43","19","0","92feeaca-6d36-4fab-b518-662e0c844d2e"
"2023-11-27 17:45:00","120","148","35","139","9302f57d-9ac4-42ab-8bd6-0347703a3716"
"2023-03-07 11:00:00","62","68","19","0","93092187-20df-406c-b495-2f248ae943df"
"2023-05-24 18:00:00","59","136","27","0","9309d90e-861f-44f4-a0ab-4f3c5f181cd2"
"2023-12-15 10:45:00","57","53","23","0","93155a62-97d9-4349-b141-7cceaff0248a"
"2023-04-16 21:15:00","64","60","15","0","93192577-a737-4b06-b2cb-0fa1c4669b3c"
"2023-07-06 17:45:00","0","149","0","0","9319ea7c-9a99-411f-bad1-03b1373c5a3a"
"2023-05-22 18:00:00","58","125","26","0","931e2d2b-5fd6-4d2f-ae6f-39200abe2322"
"2023-12-14 22:45:00","0","0","0","0","9323f206-338c-4956-b743-ef2d7139ba06"
"2023-05-24 14:45:00","54","45","1","0","932e11ab-d9ba-4c3c-b6ac-94bb6e56bd24"
"2023-08-03 11:30:00","0","143","0","0","9330bb12-5700-4811-a414-4210dd4982dc"
"2023-08-28 18:15:00","0","120","0","0","9333f1c4-8a3c-4525-8fda-1f765862191d"
"2023-03-25 07:45:00","78","83","33","0","93404bd9-10a3-492a-ab2b-2ef952e56e6a"
"2023-10-23 20:00:00","120","118","18","64","93452964-4072-40b3-b236-4cde5357b819"
"2023-03-26 14:45:00","112","140","38","0","934a72a4-0ecb-4005-9d65-517f7ba61592"
"2023-06-09 12:30:00","55","121","6","0","934add8c-04ff-46ac-b3ee-1d10eab2060a"
"2023-08-29 09:00:00","0","60","0","0","934ef6be-5581-4dd9-be22-6adb80178102"
"2023-05-11 21:45:00","5","0","7","0","935123c5-aeee-4f3d-be10-3d4b395208a8"
"2023-05-10 13:30:00","54","121","4","0","93531914-b91d-4cec-814f-c6886c78ddfa"
"2023-10-03 23:00:00","0","0","0","0","935c14d4-5b32-49ce-9900-484272b8ee2f"
"2023-06-09 21:45:00","0","0","12","0","935dca6f-a1fc-4bae-a3ff-df6ad7e88933"
"2023-11-20 18:15:00","103","157","21","32","936267f5-f3e2-40bc-b150-ca0effd712de"
"2023-05-24 08:15:00","14","20","17","0","9362ddcb-3e1e-42a9-b419-2770a1105ee8"
"2023-10-17 18:30:00","130","149","18","1","9366979a-8797-4db3-9fde-614a36135720"
"2023-10-29 08:15:00","46","72","25","0","936b530f-6356-4b0d-a4b1-dc851d783fde"
"2023-06-07 09:00:00","46","49","12","0","936faee1-a2f1-4e4c-9b13-a8e3f1eec1a6"
"2023-12-03 09:00:00","69","81","16","0","937264cd-b764-43e8-a97a-bdc54ac7373b"
"2023-05-07 06:15:00","11","18","5","0","93756d1d-728a-4bd1-86e7-9b5970261cf8"
"2023-07-03 08:45:00","0","34","0","0","937a4ed9-7aed-4ef5-9111-dd918c22463f"
"2023-10-28 13:45:00","79","136","14","97","937a912d-c4d4-43c8-b93e-d62e475c63fa"
"2023-03-14 16:45:00","109","137","18","15","9389bef9-e730-4df6-8c6d-c88793b89aca"
"2023-11-05 15:15:00","111","152","17","60","938abafe-cb12-4f19-8cd0-ff9369e35ddb"
"2023-12-13 01:15:00","0","0","0","0","938cdb06-9437-4dbc-9bb1-c905931a992e"
"2023-10-21 00:30:00","0","0","0","2","938e75a2-1c58-46aa-a5d5-9f9a4d539633"
"2023-08-20 15:15:00","0","150","0","0","938f8a05-41aa-49d9-a63a-3c08234a65da"
"2023-06-07 19:30:00","39","92","23","0","939855df-61ff-4bdf-966b-1aba1dd4237f"
"2023-07-03 15:30:00","0","69","0","0","939a4a5d-5221-463d-9f8d-a5628a7f54d2"
"2023-08-04 07:15:00","0","53","0","0","939ad9c3-5cec-4864-9748-b649fa3f25e4"
"2023-12-12 19:45:00","97","138","26","125","939b4996-923b-4bf8-ad21-d2b902ffe3c0"
"2023-09-30 20:30:00","100","71","17","0","939cbeff-a1d5-4787-8354-79e580048760"
"2023-07-17 14:30:00","0","99","0","0","939ed925-f6fb-411c-b5a6-c223436f5e7f"
"2023-10-17 16:00:00","75","137","19","0","93a5a448-9ae6-4b80-a719-5acca4980768"
"2023-05-06 13:00:00","43","109","13","0","93b5f691-2f41-4613-8363-d537cad26cbf"
"2023-11-12 00:00:00","0","0","0","0","93b9fb74-0bba-47c6-a507-e5dc5e8dd529"
"2023-10-14 11:15:00","54","121","13","32","93bb5132-d3f9-4ba4-8cf3-227855d216d8"
"2023-07-09 20:45:00","0","96","0","0","93c32919-9fc7-4cad-8c95-9197e55f3506"
"2023-09-02 13:45:00","64","109","13","0","93c7313c-7940-4288-a1b0-e868093f06c1"
"2023-04-02 13:15:00","102","144","36","0","93c7b384-40a0-4cef-bb2f-55109d0d69c7"
"2023-11-26 06:15:00","9","15","5","0","93c99f5a-3a72-4b41-9b63-96a3cf69d783"
"2023-07-23 15:45:00","0","151","0","0","93cb126e-c8ff-4545-b30d-79d0219d3947"
"2023-05-19 07:45:00","63","50","20","0","93cb8f48-7e48-4f1e-9270-e161725b76d9"
"2023-07-11 17:00:00","0","149","0","0","93cbdb9a-e876-4d2d-a744-200432f0cc34"
"2023-05-14 08:00:00","40","79","21","0","93d2dd38-76d5-40cf-8815-be48aa868afd"
"2023-12-09 20:30:00","78","61","7","0","93d52ee2-a30a-4375-8ecd-c208bfcdfc21"
"2023-11-11 04:30:00","0","0","0","0","93d7dd10-8c17-431a-9d5a-eea414f2b41b"
"2023-11-26 18:00:00","96","116","24","248","93da8c4d-5f95-4fc1-b477-c0ec3d978162"
"2023-09-22 02:15:00","0","0","0","0","93e15b3d-c916-460c-abcc-182edeefac0c"
"2023-08-12 06:30:00","0","36","0","0","93e6af32-6490-458f-a92b-753d94994d74"
"2023-03-05 13:45:00","92","120","14","105","93e859a5-82ea-4522-b093-6bff1671b091"
"2023-07-06 06:15:00","0","23","0","0","93e893d9-fa14-4990-ac2d-1283f4eab57b"
"2023-10-09 13:45:00","57","69","1","0","93f178e0-2644-4d51-a1db-d9b496e12642"
"2023-12-01 09:00:00","39","18","19","0","93f3cab4-cd3c-4f0b-8cc6-6a406332d99f"
"2023-10-19 14:00:00","57","155","24","0","93f3ff3c-ff3b-4c04-9c28-ab939590d096"
"2023-10-05 06:00:00","0","0","0","0","93f522ac-aeaa-4678-be61-8d21250d9a67"
"2023-03-14 09:30:00","56","41","20","0","93f8900b-6de9-43d4-9d7f-165d09f837bf"
"2023-11-21 13:30:00","67","90","19","0","9400f735-ac86-4b2b-85ca-3413d78bd559"
"2023-05-27 13:30:00","45","73","16","0","94019325-20a6-4c83-b8ab-d96ed64f1eaa"
"2023-05-04 16:15:00","99","136","24","0","94034600-2a83-49dc-86c4-91e61456c8f2"
"2023-11-14 21:15:00","79","60","22","0","9404a0e3-6962-46a5-9438-0feac58dbe7b"
"2023-06-14 15:00:00","68","99","24","0","9404c4e1-aab2-4963-895c-4038b7ce0916"
"2023-06-02 12:30:00","52","43","18","0","9406874f-e2cb-480a-a1bd-688ce14e01f5"
"2023-09-23 00:30:00","0","0","0","0","94096bad-6e53-4e10-a7c1-abe43d9fdbff"
"2023-12-04 11:15:00","59","43","25","0","94097eb2-441f-4c34-aa26-95595b6b57d2"
"2023-09-13 14:00:00","53","78","3","0","940e02c9-7969-4c5b-9e8c-e91e13fd58b0"
"2023-09-13 18:00:00","97","151","10","0","940fdbdf-e480-47b6-82d1-11a5fa4187fa"
"2023-12-12 20:00:00","116","143","19","98","941ed954-4d0f-4c8a-91ab-c70920f92254"
"2023-04-04 18:30:00","97","146","19","0","9420bfa7-1406-4feb-a093-3ccca7d8a29f"
"2023-03-22 16:15:00","88","152","27","0","942323d6-f968-40a6-8fed-00bd5998707e"
"2023-10-26 07:15:00","24","45","6","0","94236d88-48ae-4ab0-b3d1-b84272af3a85"
"2023-10-31 16:30:00","74","109","14","0","942b657f-1553-420b-9642-3eb8b3a551de"
"2023-03-11 14:15:00","93","153","17","108","94320e09-8bbf-455e-8885-e8905122358e"
"2023-12-16 05:00:00","0","0","0","0","9438ab3d-115c-4762-be95-497544d12101"
"2023-11-27 14:00:00","73","114","16","0","943c070e-6b0b-4320-829e-4660b2b39df2"
"2023-09-20 17:00:00","88","153","26","0","943c6c09-453b-4f09-a630-9aa3b4543acc"
"2023-11-13 05:15:00","0","0","0","0","943db695-71ae-4b35-a8e6-37d0592bf6bf"
"2023-08-19 13:30:00","0","122","0","0","9444c2c4-83ce-4736-956a-74d215014e5b"
"2023-10-04 17:00:00","105","153","39","79","9453bfe2-10aa-4296-abb3-d23d6bb21184"
"2023-09-23 21:30:00","29","22","0","0","945e1b6e-7ba8-4361-8bab-31425a502de2"
"2023-11-07 01:00:00","0","0","0","0","945e4abe-b5bc-495a-a086-26f12d5a7483"
"2023-10-20 20:30:00","67","87","16","53","9462198a-aa8f-4dcf-a36e-b8b1c9c343c2"
"2023-05-08 19:45:00","83","120","24","0","9464117b-97b5-473d-91bc-5a78248ef752"
"2023-05-23 07:45:00","18","25","22","0","946567bc-334a-40d2-9c7c-935a6c5eff23"
"2023-10-29 06:45:00","0","0","0","0","94667b04-6f30-457a-92ba-c2c80b454a9e"
"2023-05-28 06:45:00","20","25","12","0","94671939-6dcc-44d9-b7cb-2656041b8e86"
"2023-10-31 21:00:00","123","131","15","102","94702f94-9513-4f8c-b6a4-51c9ecf18715"
"2023-08-18 21:30:00","0","34","0","0","94780946-163c-4a74-9f3c-fe4735b7464d"
"2023-07-18 11:15:00","0","146","0","0","947aa121-efc1-4390-ab9d-13f6b5101f2f"
"2023-03-25 21:15:00","52","39","0","0","94807804-40d1-4d48-b309-f40cdebbea85"
"2023-07-25 11:30:00","0","126","0","0","9483f16d-6fb0-46bc-86a1-e2c300e0a4d2"
"2023-03-10 20:30:00","93","128","26","6","948f9489-8792-4d2a-bf51-da40930fad01"
"2023-03-19 19:45:00","106","151","21","46","94915a78-adc0-4ee3-a34c-9190546310cd"
"2023-03-09 19:00:00","119","145","27","43","949269ef-cfb1-443d-bc8f-abf609ece61c"
"2023-10-01 12:00:00","83","161","21","0","94927255-cc5d-4748-88a3-caad71fa1c88"
"2023-09-25 01:30:00","0","0","0","0","9493be89-c43f-48bc-b600-d7a22a49b0e5"
"2023-10-23 11:45:00","55","70","17","0","949469c6-9a86-4ded-8e4f-4043999485e4"
"2023-10-28 13:30:00","87","136","15","69","94948124-99a1-4024-a663-5b454f0d723e"
"2023-07-03 09:30:00","0","50","0","0","949779e8-26a5-4836-a501-6508e0c453a1"
"2023-11-25 11:15:00","57","147","13","82","9498b92e-e38c-427a-b451-60c24af3c078"
"2023-11-07 08:15:00","34","22","22","0","949a7cc5-0dc3-4671-86a2-d27759aee8b4"
"2023-11-09 20:00:00","116","157","27","130","949ec4bf-e751-46c4-af0b-1bea75040e45"
"2023-08-24 16:30:00","0","123","0","0","94a22082-4def-438c-8f9d-b4554266d272"
